DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Romania,2021,734.040,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Romania,2022,554.256,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Romania,2023,318.854,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Serbia,2020,517.684,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Serbia,2021,306.426,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Serbia,2022,267.364,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Sweden,2020,292.539,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Sweden,2021,320.038,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Sweden,2022,333.480,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Sweden,2023,303.387,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Slovenia,2020,28.349,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Slovenia,2021,21.088,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Slovenia,2022,27.574,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Slovenia,2023,19.250,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Slovakia,2020,356.574,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Slovakia,2021,397.092,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Slovakia,2022,305.257,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Slovakia,2023,220.589,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Türkiye,2020,11466.990,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Türkiye,2021,12279.149,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Türkiye,2022,8472.836,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Kosovo*,2020,27.462,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Kosovo*,2021,33.604,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Solid fossil fuels,Thousand tonnes of oil equivalent,Kosovo*,2022,29.707,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Manufactured gases,Thousand tonnes of oil equivalent,Albania,2020,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Manufactured gases,Thousand tonnes of oil equivalent,Albania,2021,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Manufactured gases,Thousand tonnes of oil equivalent,Albania,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Manufactured gases,Thousand tonnes of oil equivalent,Austria,2020,81.312,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Manufactured gases,Thousand tonnes of oil equivalent,Austria,2021,111.897,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Manufactured gases,Thousand tonnes of oil equivalent,Austria,2022,98.945,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Manufactured gases,Thousand tonnes of oil equivalent,Austria,2023,96.559,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Manufactured gases,Thousand tonnes of oil equivalent,Bosnia and Herzegovina,2020,52.381,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Manufactured gases,Thousand tonnes of oil equivalent,Bosnia and Herzegovina,2021,42.665,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Manufactured gases,Thousand tonnes of oil equivalent,Bosnia and Herzegovina,2022,41.062,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Manufactured gases,Thousand tonnes of oil equivalent,Belgium,2020,141.229,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Manufactured gases,Thousand tonnes of oil equivalent,Belgium,2021,180.261,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Manufactured gases,Thousand tonnes of oil equivalent,Belgium,2022,151.137,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Manufactured gases,Thousand tonnes of oil equivalent,Belgium,2023,159.205,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Manufactured gases,Thousand tonnes of oil equivalent,Bulgaria,2020,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Manufactured gases,Thousand tonnes of oil equivalent,Bulgaria,2021,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Manufactured gases,Thousand tonnes of oil equivalent,Bulgaria,2022,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Manufactured gases,Thousand tonnes of oil equivalent,Bulgaria,2023,0.000,
ESTAT:NRG_BAL_S(1.0),16/12/24 23:00:00,Annual,Final consumption - energy use,Manufactured gases,Thousand tonnes of oil equivalent,Cyprus,2020,0.000,
